Rank,Kanji,Word,Part of Speech,English Translation,Phrase,English Phrase
1367,最高,saikou,"n., na-adj","best, highest",私共は世界で最高の技術を使ってい ます。,We use the best technology in the world.
1368,弟,otouto,n.,younger brother,これが私の弟です。,This is my younger brother.
1369,卵,tamago,n.,"egg, spawn",卵を割ってボウルに入れてね。,Break some eggs into the bowl.
1370,服,fuku,n.,"clothes, dress, outfit",服を床に散らかさないで！,Don’t throw your clothes on the floor!
1371,赤ちゃん,akachan,n.,"baby, infant",彼女には五か月の赤ちゃんがいる。,She has a five-month-old baby.
1372,始め,hajime,"adv., n.","beginning, origin",毎回授業の始めに小テストがある。,We have a quiz at the beginning of each lesson.
1373,要求（する）,youkyuu(suru),"n., v.","demand, request, claim",そんな要求にはこたえられない。,I cannot meet such a demand.
1374,紙,kami,n.,paper,答えは全てその紙に書いてください。,Write all the answers on the paper.
1375,妹,imouto,n.,younger sister,妹は中学生です。,My younger sister is a junior high school student.
1376,額,gaku,n.,amount of money; frame,詳しい額は請求書にかいてあります。,The exact amount was on the invoice.
1377,交ぜる,mazeru,v.,"mix, shuffle",彼女は野菜と果物を交ぜてボウルに入れた。,She mixed some vegetables and fruit in the bowl.
1378,抱く,idaku,v.,"have, hold, embrace",若者たちは将来に大きな希望を抱いている。,Young people have big hopes for their future.
1379,出来上がる,dekiagaru,v.,"be completed, be finished, be ready",晩ご飯が出来上がりましたよ。,Dinner is ready!
1380,小説,shousetsu,n.,"novel, fiction, story",私は家で一日中小説を読んでいた。,I stayed home all day reading novels.
1381,訪れる,otozureru,v.,"visit, call on, arrive",この国を訪れるのに一番いい季節は春だと思 う。,I think spring is the best season to visit the country.
1382,汗,ase,n.,"sweat, perspiration",彼は顔の汗をぬぐった。,He wiped the sweat off his face.
1383,特別,tokubetsu,na-adj.,"special, particular",この仕事に特別な技術は必要ありません。,This job doesn’t require any special skills.
1384,改善（する）,kaizen(suru),n. v.,"improvement, reform<br>improve",患者の症状に改善が見られない。,The patient’s symptoms don’t show any improvement.
1385,休み,yasumi,n.,holiday; rest; be closed,銀行は日曜日は休みだ。,Banks are closed on Sundays.
1386,咲く,saku,v.,bloom,この公園にはさまざまな花が咲く。,Many different flowers bloom in this park.
1387,基本,kihon,n.,"foundation, basis, basic",料理の基本を学びたい。,I want to learn the basics of cooking.
1388,暑い,atsui,i-adj.,"hot, warm",今日は特に暑いですね。,"It is especially hot today, isn’t it?"
1389,向く,muku,v.,"turn, face, look",彼女は私のほうを向いて泣き出した。,She turned to me and started crying.
1390,ますます,masumasu,adv.,"more and more, increasingly",ますます多くの人が室内でペットを飼ってい る。,More and more people are keeping pets indoors.
1391,最終的,saishuu-teki,na-adj.,"final, last, ultimate",最終的な目標は何ですか。,What is your ultimate goal?
1392,感情,kanjou,n.,"feeling, emotion",彼女の感情を傷つけるつもりはなかった。,I had no intention of hurting her feelings.
1393,我慢（する）,gaman(suru),n. v.,"patience, endurance, tolerance<br>be patient, endure",彼の失礼な態度にはもう我慢ができない。,I lost patience with his rude attitude.
1394,浮かぶ,ukabu,v.,"float, rise",たくさんのボートが湖に浮かんでいる。,Many boats are floating on the lake.
1395,利益,rieki,n.,"profit, benefit, gain",株で利益を上げた。,We made a profit on the stock market.
1396,先日,senjitsu,"adv., n.","the other day, recently",先日はありがとうございました。,Thank you very much for the other day.
1397,裏,ura,n.,"reverse, back; rear",写真の裏に日付を書いた。,I wrote the date on the back of the photograph.
1398,もたらす,motarasu,v.,"bring, cause",天候の変化が農業に深刻な被害をもたらして いる。,Climate change has caused serious damage to the farming industry.
1399,姉,ane,n.,elder sister,姉はもう結婚しています。,My older sister is already married.
1400,問う,tou,v.,"ask, question; charge",これは人生の意味を問う映画だ。,It’s a movie asking the meaning of life.
1401,継ぐ,tsugu,v.,"succeed, take over",彼はお父さんの後を継いで社長になる予定 だ。,He will succeed his father as company president.
1402,北海道,hokkaidou,n.,Hokkaido,北海道は雪がたくさん降る。,They have a lot of snow in Hokkaido.
1403,構成（する）,kousei(suru),n. v.,"constitution, structure<br>compose",委員会は二十人の委員によって構成されてい る。,The committee is composed of twenty members.
1404,反応（する）,hannou(suru),n. v.,"reaction, response<br>respond",観客の反応はいかがでしたか。,What kind of reaction have you got from the audience?
1405,ナイフ,naifu,n.,knife,男性がナイフで刺されました。,A man was stabbed with a knife.
1406,(お)じいさん,(o)-jii-san,n.,grandfather,おじいさんは年のわりに元気です。,My grandfather is lively for his age.
1407,新宿,shinjuku,n.,Shinjuku (place name),新宿駅で電車を乗り換えてください。,Please change trains at Shinjuku station.
1408,活用（する）,katsuyou(suru),n. v.,"application<br>exploit, take advantage of",この機会を活用すべきだ。,You should take advantage of this opportunity.
1409,正直,shoujiki,n. na-adj. adv.,"honesty<br>honest, truthful<br>honestly",正直な気持ちを聞かせてほしい。,Please tell me your true feelings.
1410,黒,kuro,n.,black,あの画家は良く黒を使う。,That painter uses black a lot.
1411,スーパー,suupaa,n.,supermarket,毎日同じスーパーで買い物している。,I shop at the same supermarket every day.
1412,プロ,puro,n.,"professional, pro",彼は小さいときにダンスを始めてプロになっ た。,He started dancing when he was little and became a professional.
1413,渡す,watasu,v.,"carry across, hand, transfer",私は姉にタオルを渡した。,I handed the towel to my sister.
1414,掲げる,kakageru,v.,"hang out, hold up",我々は高い理想を掲げている。,We hold high ideals.
1415,京都,kyouto,n.,Kyoto,京都にはたくさんの神社やお寺がある。,"In Kyoto, there are many shrines and temples."
1416,就職（する）,shuushoku(suru),n. v.,"job hunting<br>find employment, get a job",就職はさらに困難になってきている。,Getting a job is becoming increasingly difficult.
1417,立派,rippa,na-adj.,"fine, splendid, great",その学校には立派なプールがある。,The school has a fine swimming pool.
1418,舞台,butai,n.,"stage, scene",彼女が舞台に現れると観客から拍手が沸き起 こった。,"When she appeared on the stage, the audience burst into applause."
1419,現地,genchi,n.,"field, on-site, local",現地の言葉を知っていたら旅行はもっと楽し くなる。,Traveling becomes more fun if you know the local language.
1420,数字,suuji,n.,"number, figure",正確な数字は覚えていません。,I do not remember the exact number.
1421,提出（する）,teishutsu(suru),n. v.,"submission<br>submit, hand in",至急履歴書を提出してください。,Please submit your resume immediately.
1422,コンピューター、コンピュータ,"konpyuutaa, konpyuuta",n.,computer,コンピューターの電源を切った。,I turned off the computer.
1423,東京都,toukyou to,n.,"Tokyo, Tokyo metropolitan government, Tokyo metropolitan area",東京都が交通事故に関する調査を行いまし た。,Tokyo metropolitan government has carried out a survey on traffic accidents.
1424,から,kara,conj.,because,今日は何も食べていないからおなかが空いて いる。,I am hungry because I did not eat anything today.
1425,弾く,hiku,v.,play (musical instrument),私はときどきピアノを弾く。,I sometimes play the piano.
1426,自宅,jitaku,n.,"home, house",もしよろしければご自宅の電話番号を教えて ください。,"If you don’t mind, please tell me your home phone number."
1427,腹,hara,n.,"belly, stomach",腹にパンチをしてみろ。,Punch me in the stomach.
1428,喜び,yorokobi,n.,"pleasure, delight",皆さまをお迎えできるのは何よりの喜びです。,It gives me great pleasure to welcome you all.
1429,"しようがない, しょうがない","shiyou ga nai, shou ga nai",i-adj.,"it can’t be helped, nothing can be done",人がミスをするのはしようがない。,It can’t be helped that people make errors.
1430,風呂,furo,n.,bath,お風呂に入った。,I took a bath.
1431,香り,kaori,n.,"smell, scent",彼女の香水の香りが好きだ。,I like the smell of her perfume.
1432,スキー,sukii,n.,ski; skiing,今年の冬はスキーに行くつもりだ。,I’m planning to go skiing this winter.
1433,構う,kamau,v.,"mind, care about",少々お待ちいただいても構いませんか。,Would you mind waiting a minute?
1434,受け入れる,ukeireru,v.,"receive, accept, agree",新しい生活スタイルが受け入れられつつあ る。,The new lifestyle is being accepted.
1435,お菓子,o-kashi,n.,"sweets, snack food",この店にはいろいろなお菓子がある。,There are various kinds of sweets in this shop.
1436,無料,muryou,n.,"free, no charge",六歳以下の子供は入場料が無料です。,Admission is free for children under six.
1437,付き合い,tsukiai,n.,"association, acquaintance",私は近所の人と付き合いがない。,I have nothing to do with my neighborhood.
1438,私共,watakushi-domo,pron.,we,私共は世界中にサービスを提供しております。,We provide services worldwide.
1439,被害,higai,n.,"damage, harm",建物には何も被害がなかった。,No damage was done to any of the buildings.
1440,椅子,isu,n.,chair,椅子を三列に並べてもらえますか。,Will you arrange the chairs in three rows?
1441,直す,naosu,v.,"fix, repair, mend",部屋のシャワーを直していただけませんか。,Could you repair the shower in my room?
1442,桜,sakura,n.,cherry tree; cherry blossom,桜の花の咲く季節が来ました。,The cherry blossom season has come.
1443,回答（する）,kaitou(suru),n. v.,"answer, response, reply<br>answer, respond, reply",回答は100人から集められた。,Responses were collected from one hundred people.
1444,ゲーム,geemu,n.,game,息子はゲームに夢中になっている。,My son really gets into computer games.
1445,ことはない,koto wa nai,aux.,"not have to, there is no need for",あなたが心配することはないよ。,You don’t have to worry about it.
1446,個人的,kojin-teki,na-adj.,"private, personal, individual",個人的な質問をしてもよろしいですか。,Do you mind if I ask you a personal question?
1447,活躍（する）,katsuyaku(suru),n. v.,"activity, action<br>be active, flourish",彼女はジャーナリストとして活躍している。,She has been active as a journalist.
1448,試験（する）,shiken(suru),n. v.,"exam, test, trial<br>examine",彼女は試験に受かった。,She passed the exam.
1449,身近,mijika,na-adj.,"familiar, close",日本人にとって米は最も身近な食べ物だ。,Rice is the most familiar food for Japanese.
1450,苦しい,kurushii,i-adj.,"painful, hard, difficult",生きるのが苦しい。,Life is hard.
1451,恥ずかしい,hazukashii,i-adj.,"ashamed, embarrassed",道で転んだ時、恥ずかしかった。,I was embarrassed when I stumbled on the street.
1452,金,kin,n.,"gold, money",この指輪は金でできている。,This ring is made of gold.
1453,ただ,tada,n.,"just, mere, only",私たちはただの友達です。,We are just friends.
1454,検査（する）,kensa(suru),n. v.,inspection<br>inspect,その車は詳細な検査に合格した。,The car passed a close inspection.
1455,皮、革,kawa,n.,"skin, hide, jacket",最初に皮をむいて。,First you have to peel the skin.
1456,白,shiro,n.,white; innocence,ワインは赤と白どちらがいいですか。,"Which wine would you prefer, red or white?"
1457,足りる,tariru,v.,"be sufficient, be enough, be worthy",十ドルで足りるはずだ。,Ten dollars should be enough.
1458,代表（する）,daihyou(suru),n. v.,"representative<br>represent, stand for",彼は会社を代表して会議に出る。,He will attend the conference representing the company.
1459,夕方,yuugata,"adv., n.",evening,明日の夕方までにこの仕事を終えなければな らない。,I have to finish this work by tomorrow evening
1460,下がる,sagaru,v.,"fall, drop, step back",気温が下がっている。,The temperature is falling.
1461,実感（する）,jikkan(suru),n. v.,real feeling<br>actually feel,その薬の効果を実感できない。,I can’t actually feel the effect of the medicine.
1462,有する,yuusuru,v.,have,すべての人は対等の権利を有する。,All people have equal rights.
1463,抜く,nuku,v.,"pull, extract",彼はワインの瓶からコルクを抜いた。,He pulled the cork from a wine bottle.
1464,回す,mawasu,v.,"turn, rotate, spin",彼女は静かにノブを回してドアを開けた。,She turned the knob quietly and opened the door.
1465,敵,teki,n.,"enemy, opponent",敵をたくさん作ってしまった。,I have made so many enemies.
1466,側,gawa,n.,side,その問題についてはどちらの側にもつかな い。,I will not take sides on the matter.
1467,分かれる,wakareru,v.,"divide, split, part",その問題については意見が分かれると思う。,I think opinions will be divided on the issue.
1468,見つめる,mitsumeru,v.,"stare, gaze",男はただ子供たちを見つめていた。,The man was just staring at the children.
1469,祭り,matsuri,n.,festival,娘と近所の祭りに出かけた。,I went to a neighborhood festival with my daughter.
1470,抜ける,nukeru,v.,fall out; come loose; be omitted; leave,ストレスのせいで髪が抜けてしまった。,The stress made my hair fall out.
1471,仕様,shiyou,n.,"style, specification, method",この車は日本の仕様に合わせて作られた。,This car was made to Japanese specifications.
1472,最大,saidai,n.,"biggest, largest",結婚は人生で最大のイベントと言われてい る。,Marriage is said to be the biggest event in one’s life.
1473,スタート（する）,sutaato(suru),n. v.,"start<br>get off, start",走者は良いスタートを切った。,The runner got off to a good start.
1474,なり,nari,p.,"or, whether or not",具合が悪い時は誰かに相談するなり病院に行 くなりしなさい。,"When you feel ill, you should talk to someone or go to hospital."
1475,沖縄,okinawa,n.,Okinawa,沖縄は一年中暖かい。,Okinawa is warm all year round.
1476,設ける,moukeru,v.,"institute, set up",話し合いの場を設ける必要がある。,We need to arrange a meeting.
1477,でもって,de mot-te,cp.,"by, with, in",彼らは残り物を新聞紙でもって包んで家 に持って帰った。,They wrapped the leftovers in newspaper and took them home.
1478,幼稚園,youchi-en,n.,"preschool, kindergarten",息子は二年間幼稚園に通っている。,My son has been going to preschool for two years.
1479,二度,ni do,n.,twice,パリへ二度行ったことがある。,I have been to Paris twice.
1480,処理（する）,shori(suru),n. v.,"management, processing<br>manage, process",このコンピューターはデータの処理が遅い。,This computer processes data very slowly.
1481,困難,konnan,n. na-adj.,difficulty<br>difficult,彼らはこれまで多くの困難を乗り越えてきた。,They have overcome a lot of difficulties.
1482,あくまで,akumade,adv.,"only, to the last",これはあくまで私個人の意見です。,This is just my personal opinion.
1483,分野,bun’ya,n.,"field, discipline",彼は様々な分野で活躍している。,He is active in various fields.
1484,間違う,machigau,v.,"be wrong, make a mistake",彼の意見は間違っている。,His opinion is wrong.
1485,姿勢,shisei,n.,"posture, attitude",彼は姿勢がいい。,He has good posture.
1486,ショック,shokku,n.,shock,彼はそのニュースを聞いてショックを受けた。,He was shocked by the news.
1487,暇,hima,"na-adj., n.","free, not busy",今晩暇ですか。,Are you free tonight?
1488,つい,tsui,adv.,"without thinking, unintentionally",つい、笑ってしまった。,I laughed in spite of myself.
1489,土,tsuchi,n.,soil,植木鉢に新しい土を入れた。,I put new soil in the flower pot.
1490,隠す,kakusu,v.,"hide, conceal",彼はその本をベッドの下に隠した。,He hid the book under the bed.
1491,緊張（する）,kinchou(suru),n. v.,tension<br>get tense,私は人前で話すとき緊張してしまう。,I become nervous when I speak in front of other people.
1492,それとも,sore to mo,conj.,or,彼の考えに賛成ですか、それとも反対ですか。,Are you for or against his idea?
1493,帰り,kaeri,n.,return,彼女は夫の帰りを待った。,She waited for her husband’s return.
1494,三日,mik-ka,n.,third (date); three days,三日続けて雨が降った。,Rain fell for three days straight.
1495,戦う,tatakau,v.,fight,彼らは自由のために戦った。,They fought for freedom.
1496,単に,tanni,adv.,"just, simply",この料理は単においしいだけでなく体にもい い。,This dish is not only delicious but healthy too.
1497,席,seki,n.,seat,自分の席に戻りなさい。,Go back to your seat.
1498,つる,tsuru,v.,hang; fish,彼は首をつって自殺した。,He hanged himself.
1499,達する,tassuru,v.,reach,2011年に世界人口は七十億人に達した。,The world population reached seven billion in 2011.
1500,小学生,shougaku-sei,n.,"elementary school student, primary school pupil",私の息子は小学生だ。,My son is in elementary school.
1501,ついに,tsuini,adv.,"at last, finally",彼の夢がついに実現した。,His dream has come true at last.
1502,具合,guai,n.,condition,具合が良くありません。,I don’t feel well.
1503,歯,ha,n.,tooth,私は一日にニ回歯を磨く。,I brush my teeth twice a day.
1504,ベッド,beddo,n.,bed,犬が私のベッドで寝ている。,My dog is sleeping in my bed.
1505,無事,buji,adv. n.,safely<br>safety na-adj safe,大地震が起きたが、家族は皆無事だった。,"A big earthquake happened, but all my family was safe."
1506,身体,shintai,n.,body,人間の身体の約60パーセントから70パーセン トは水分である。,60 to 70 percent of the human body is water.
1507,何年,nan nen,n.,"what year, how many years",何年ぐらい東京に住んでいますか。,How many years have you been in Tokyo?
1508,星,hoshi,n.,star,今夜は星が見えない。,I can’t see the stars tonight.
1509,携帯電話,keitai denwa,n.,cell phone,あとで私の携帯電話に電話してください。,Call me later on my cell phone.
1510,砂糖,satou,n.,sugar,彼女はコーヒーに砂糖とミルクを入れる。,She puts milk and sugar in her coffee.
1511,切れる,kireru,v.,"expire, run out",運転免許証の期限が来週で切れる。,My driver’s license will expire next week.
1512,維持（する）,iji(suru),n. v.,"maintenance, preservation<br>keep, maintain",毎朝ジョギングをして健康を維持している。,I keep fit by jogging every morning.
1513,高さ,taka-sa,n.,height,このテーブルはちょうどいい高さだ。,This table is the right height for me.
1514,太陽,taiyou,n.,sun,地球は太陽の周りを回っている。,The earth goes around the sun.
1515,会場,kaijou,n.,hall; site,会場は人でいっぱいだ。,The hall is full of people.
1516,素敵,suteki,na-adj.,"lovely, nice, wonderful",素敵な指輪ですね。,That’s a lovely ring.
1517,湯,yu,n.,hot water,鍋で湯を沸かしてください。,Please boil water in a pot.
1518,そもそも,somosomo,"adv., n.",in the first place,そもそもそんなことをするべきではなかった。,You shouldn’t have done that in the first place.
1519,約束（する）,yakusoku(suru),n. v.,"promise, appointment<br>promise, make an appointment",約束は守らなければならない。,You have to keep your promise.
1520,ワイン,wain,n.,wine,パーティーでワインを飲んだ。,I drank wine at the party.
1521,高校生,koukou-sei,n.,high school student,彼らはまだ高校生だ。,They are still high school students.
1522,イベント,ibento,n.,event,お祭りの期間中、様々なイベントが行われる。,A variety of events are featured during the festival.
1523,二日,futsu-ka,n.,second (date); two days,私は1972年の一月二日に生まれた。,I was born on January 2 in 1972.
1524,売れる,ureru,v.,sell,この本は最近よく売れている。,This book is selling well these days.
1525,少なくとも,sukunaku tomo,adv.,at least,少なくとも毎月一冊は本を読む。,I read at least one book every month.
1526,米国,beikoku,n.,United States,米国大統領が来日中だ。,The President of the United States is in Japan.
1527,周囲,shuui,n.,surroundings,その家は周囲を森に囲まれていた。,The house was surrounded by the forest.
1528,伺う,ukagau,v.,"ask, inquire (humble)",教授の研究について伺う。,I will ask the professor about his research.
1529,引っ越す,hikkosu,v.,move (house),来月、東京に引っ越す。,I am moving to Tokyo next month.
1530,二十年,nijuu nen,n.,twenty years,私たちが結婚して二十年になる。,It’s been twenty years since we got married.
1531,たまる,tamaru,v.,"accumulate, build up",彼はストレスがたまると怒りっぽくなる。,He tends to get angry quickly when stress builds up.
1532,精神的,seishin-teki,na-adj.,spiritual,彼は精神的な柱だ。,He is a spiritual leader.
1533,中学校,chuugakkou,n.,junior high school,妹が中学校に入った。,My sister entered junior high school.
1534,仲良く,nakayoku,adv.,friendly,彼女は誰とでもすぐに仲良くなる。,She makes friends with everyone straight away.
1535,言い方,ii-kata,n.,way to say,もっと自然な言い方がありますか。,Is there a more natural way to say it?
1536,バランス,baransu,n.,balance,栄養のバランスを考えて食べましょう。,Eat taking nutritional balance into account.
1537,五年,go nen,n.,five years,私はフランス語を五年勉強した。,I studied French for five years.
1538,安定（する）,antei(suru),n. v.,stability<br>become stable,将来は安定した仕事につきたい。,I hope to get a stable job in the future.
1539,完成（する）,kansei(suru),n. v.,completion<br>complete,その橋は完成までに約三年かかるだろう。,It will take about three years to complete the bridge.
1540,我が家,wagaya,n.,"one’s house, one’s family, one’s home",私は友人を我が家に招待した。,I invited my friend to my house.
1541,見かける,mikakeru,v.,see,この写真の猫を見かけたら、お電話ください。,Please call me if you see the cat in this picture.
1542,広げる,hirogeru,v.,"spread, expand",彼女は机に新聞を広げた。,She spread a newspaper on the desk.
1543,参考,sankou,n.,reference,この本は私の研究に参考になる。,This book is a useful reference for my research.
1544,たとえ,tatoe,adv.,even if,たとえ両親が反対しても私は行く。,I will go even if my parents are against it.
1545,受け取る,uketoru,v.,"get, accept",この手紙を受け取ったらすぐに返事をくださ い。,Please write back to me as soon as you get this letter.
1546,冷たい,tsumetai,i-adj.,cold,何か冷たいものが飲みたいなあ。,I want to drink something cold.
1547,望む,nozomu,v.,hope,世界中の人が平和を望んでいる。,People around the world hope for peace.
1548,適用（する）,tekiyou(suru),n. v.,application<br>apply,その規則はこの場合には適用されない。,The rule doesn’t apply in this case.
1549,宗教,shuukyou,n.,religion,宗教を信じない人もいる。,Some people don’t believe in any religion.
1550,一年間,ichi nenkan,n.,one year,一年間ありがとうございました。,Thank you for everything you’ve done for me over the last year.
1551,範囲,han’i,n.,"extent, range",次の試験の範囲はどこですか。,What’s going to be in the next exam?
1552,接する,sessuru,v.,"adjoin, come in contact",私はあまり外国人と接する機会がない。,I don’t have many opportunities to meet foreigners.
1553,戻す,modosu,v.,"put back, restore",本は元の場所に戻してください。,Please put the book back where it was.
1554,すっかり,sukkari,adv.,"entirely, completely",彼女の誕生日をすっかり忘れていた。,I completely forgot her birthday.
1555,低下（する）,teika(suru),"n., v.","decline, fall",最近、この国では出生率が低下している。,Recently the birth rate has been declining in this country.
1556,政治,seiji,n.,politics,彼は政治に興味がなかった。,Politics didn’t interest him.
1557,なんら,nanra,adv.,nothing,この計画はなんら問題はない。,There is nothing wrong with this plan.
1558,取り組む,torikumu,v.,"tackle, deal with",彼は十年以上環境問題に取り組んできた。,He has tackled environmental issues for over ten years.
1559,余裕,yoyuu,n.,leeway,予算に余裕がある。,I have some leeway in my budget.
1560,パリ,pari,n.,Paris,彼は今パリにいる。,He is in Paris now.
1561,にて,nite,p. case,by; in; at,メールにて結果をお知らせください。,Please let me know the results by e-mail.
1562,奥さん,oku-san,n.,wife,彼女はよい奥さんになるだろう。,She’ll make a good wife.
1563,遅れる,okureru,v.,"be late, be delayed",彼はよく学校に遅れる。,He is often late for school.
1564,担当（する）,tantou(suru),n. v.,charge<br>be in charge of,田中先生が私のクラスを担当している。,Miss Tanaka is in charge of my class.
1565,向上（する）,koujou(suru),n. v.,"improvement, progress<br>improve, advance",彼の英語力は大きく向上した。,His English improved greatly.
1566,機械,kikai,n.,machine,この機械は大きい木を切るのに使われる。,This machine is used for cutting large trees.
1567,ＣＤ,shiidii,n.,compact disk,このＣＤを借りてもいいですか。,May I borrow this CD?
1568,寄る,yoru,v.,stop by; move to one side,家に帰る途中でコンビニに寄った。,I stopped by a convenience store on the way home.
1569,都市,toshi,n.,city,東京は日本最大の都市である。,Tokyo is the largest city in Japan.
1570,費用,hiyou,n.,cost,このシステムはかなり費用がかかる。,The system costs a lot.
1571,運転（する）,unten(suru),n. v.,"driving, operation<br>drive",日本では十八歳になると車を運転できる。,"In Japan, you can drive when you turn eighteen."
1572,生地,kiji,n.,"cloth, material; dough",この生地でスカートを作るつもりだ。,I’m going to use this material to make a skirt.
1573,さあ,saa,interj.,"come on, now, well",さあ、もう寝なさい。,Now it’s time to go to bed.
1574,だけでなく,dake de naku,cp.,not only,肉だけでなく、野菜も食べなさい。,"Eat not only meat, but also vegetables."
1575,予想（する）,yosou(suru),n. v.,expectation<br>expect,結果は予想したとおりだった。,The result was as we expected.
1576,一層,issou,"adv., n.",more,今後、問題は一層深刻化するだろう。,The problems will become more severe in the future.
1577,旦那,danna,n.,husband,私のだんなは優しい。,My husband is kind.
1578,経る,heru,v.,"pass through, experience",彼女はつらい体験を経て精神的に強くなっ た。,She became mentally strong after going through hardship.
1579,揃う,sorou,v.,become complete; be equal,必要なものはすべてそろった。,I’ve got everything in order.
1580,下げる,sageru,v.,lower; hang,エアコンの温度を下げてくれる？,Can you lower the temperature of the air conditioner for me?
1581,誘う,sasou,v.,invite,彼女を家に誘った。,I invited her to my house.
1582,重ねる,kasaneru,v.,stack; repeat,彼はテーブルの上の皿を重ねた。,He stacked the dishes on the table.
1583,採用（する）,saiyou(suru),n. v.,"adoption, employment<br>employ",彼女は秘書として採用された。,She was employed as a secretary.
1584,価格,kakaku,n.,price,輸入品の価格が下がっている。,Prices of imported goods have fallen.
1585,飾る,kazaru,v.,decorate,机の上にきれいな花が飾ってあった。,There were beautiful flowers on the desk.
1586,がん,gan,n.,cancer.,彼女はがんで死んだ。,She died of cancer.
1587,土,do,n.,Saturday,この土日は夜勤だ。,I’ll be on night duty this coming Saturday and Sunday.
1588,週,shuu,n.,week,彼は週に一度手紙をくれる。,He writes me once a week.
1589,細い,hosoi,i-adj.,"thin, narrow, slender",彼女は足が細い。,She has slender legs.
1590,直る,naoru,v.,be repaired; be corrected; get better,車がやっと直った。,The car is fixed at last.
1591,単純,tanjun,na-adj.,simple,彼女は子供のように単純だ。,She is as simple as a child.
1592,ファックス（する）,fakkusu(suru),n. v.,fax<br>fax,それをファックスで送ってください。,Please send it to me by fax.
1593,アルバイト,arubaito,n.,part-time job,彼は車を買うためにアルバイトをしている。,He has a part-time job so that he can buy a car.
1594,北,kita,n.,north,カナダはアメリカの北にある。,Canada is to the north of the United States.
1595,一生,isshou,n.,life,彼女は一生独身だった。,She remained single all her life.
1596,ファン,fan,n.,fan,昔から彼のファンです。,I have been a fan of him for a long time.
1597,及ぶ,oyobu,v.,reach,台風の被害は関東地方にも及んだ。,The damage from the typhoon reached as far as the Kanto area.
1598,後,nochi,"n., adv.","after, later",明日は晴れのち曇りでしょう。,"Tomorrow, it will be fine and later cloudy."
1599,調子,choushi,n.,"condition, tone",最近体の調子があまりよくない。,Recently my physical condition has not been very good.
1600,基準,kijun,n.,standard,この建物は安全基準を満たしている。,This building meets safety standards.
1601,植物,shokubutsu,n.,plant,植物は水がなければ枯れてしまう。,Plants die without water.
1602,契約（する）,keiyaku(suru),"n., v.",contract,わが社はこの会社と契約を結んだ。,We made a contract with this company.
1603,組む,kumu,v.,pair with; cross,彼は腕を組んで座っていた。,He was sitting with his arms folded.
1604,叫ぶ,sakebu,v.,shout,彼は助けを求めて叫んだ。,He shouted for help.
1605,若者,wakamono,n.,youth,彼は若者に人気がある。,He is popular among young people.
1606,手段,shudan,n.,means,ことばはコミュニケーションの手段だ。,Language is a means of communication.
1607,下ろす,orosu,v.,take down; unload; withdraw; fillet (fish); grate,銀行にお金を下ろしに行った。,I went to the bank to withdraw some money.
1608,明治,meiji,n.,Meiji (period),この人は明治時代の小説家だ。,This person was a novelist in the Meiji period.
1609,形成（する）,keisei(suru),n. v.,formation<br>take form,教育の目的は人格の形成である。,The object of education is to form character.
1610,マンガ,manga,n.,"comics, cartoon",彼はいつもマンガを読んでいる。,He’s always reading comics.
1611,ドラマ,dorama,n.,"TV drama, drama",日本のドラマを見た。,I watched a Japanese TV drama.
1612,いよいよ,iyoiyo,adv.,"finally, at last",いよいよ私の番が来た。,Finally it was my turn.
1613,高齢者,kourei-sha,n.,senior citizen,高齢者の割合が高くなっている。,The percentage of senior citizens is increasing.
1614,無駄,muda,na-adj. n.,"useless, futile<br>waste",彼に頼んでも無駄だ。,It’s useless asking him.
1615,髪,kami,n.,hair,彼女は髪が長い。,She has long hair.
1616,管理（する）,kanri(suru),n. v.,"control, management<br>manage, control",危機管理が大きな関心事である。,Our major concern is crisis management.
1617,サッカー,sakkaa,n.,"football, soccer",私の国ではサッカーはテニスより人気がある。,Soccer is more popular than tennis in my country.
1618,工場,koujou,n.,factory,彼は工場で働いている。,He works in a factory.
1619,正確,seikaku,na-adj.,"correct, exact, accurate",正確な値段は覚えていない。,I do not remember the exact price.
1620,夫婦,fuufu,n.,(married) couple,その夫婦は仲がいい。,The couple get along well.
1621,監督（する）,kantoku(suru),n. v.,"manager, director, proctor, invigilator<br>supervise, direct",彼は有名な映画監督だ。,He is a famous film director.
1622,鍋,nabe,n.,"pan, pot; hot-pot",鍋に水を入れてください。,Put water into the pot.
1623,バイト,baito,n.,part-time job,いいバイトを見つけた。,I found a good part-time job.
1624,十分,"jup-pun, jip-pun",n.,ten minutes,学校までバスで十分かかる。,It takes ten minutes to get to school by bus.
1625,外す,hazusu,v.,"undo; take off, remove",彼女はジャケットのボタンを外した。,She undid the buttons of her jacket.
1626,何でも,nan de mo,adv.,anything; nothing; everything,ここには何でもある。,This place has everything.
1627,階段,kaidan,n.,stairs,彼は階段を上った。,He went up the steps.
1628,オーストラリア,oosutoraria,n.,Australia,私はオーストラリアから来ました。,I am from Australia.
1629,そこで,soko de,conj.,so,テストの点が悪かった。そこで、もっと勉強す ることにした。,"I got a bad grade on my test, so I have decided to study harder."
1630,オーケー,ookee,n.,O.K.,「五時ごろに来て。」 「オーケー。じゃ、五時に。」,“Come around five.” “OK. See you then.”
1631,発達（する）,hattatsu(suru),n. v.,development<br>develop,技術はどんどん発達している。,Technology is developing quite fast.
