Rank,Word,Part of Speech,English Translation,Phrase,English Phrase,Frequency
1374,cadeira,nf,"chair, college course","encontrando-o só, ele puxou uma cadeira e sentou-se","Finding him alone, he pulled out a chair and sat down.",78
1375,comunista,na,communist,"o primeiro país comunista foi a URSS, depois da Revolução de 1917","The first communist country was the USSR, after the Revolution of 1917.",79
1376,emoção,nf,emotion,ele lia tudo com emoção e fé,He read it all with emotion and faith.,80
1377,representante,na,representative,Van Gogh é o grande representante do Pós-Impressionismo,Van Gogh is the great representative of Post-Impressionism.,77
1378,ultrapassar,v,"to overcome, surpass, pass (car)",Eles conseguiram ultrapassar os problemas,They were able to overcome their problems.,79
1379,comando,nm,command,"os prussianos, sob o comando do conde, avançavam em direcção ao norte","The Prussians, under the command of the count, advanced heading north.",78
1380,alvo,nm,"target, aim, white as snow",o alvo principal de sua crítica demolidora é a hipocrisia da sociedade,The main target of his sharp criticism is society’s hypocrisy.,79
1381,concentrar,v,to concentrate,o prefeito deve concentrar esforços em do is projetos específicos,The mayor should concentrate his efforts on two specific projects.,80
1382,comunicar,v,"to convey, communicate",com nenhuma palavra eu lhe poderia comunicar o meu sonho,There are not words with which to convey my dream to you.,80
1383,colectivo,na,"collective, public transportation [BP]","o jornalismo é hoje uma instituição coletiva, anônima e quase irresponsável",Journalism today is an anonymous and nearly irresponsible collective institution.,79
1384,jeito,nm,"way, manner",tenho que arranjar um jeito de sair daqui,I have to find some way to get out of here.,78
1385,actuar,v,"to perform, act",na festa actuou o grupo de rock algarvio,"At the party, the group of Algarve rock performed.",78
1386,janela,nf,window,pela janela aberta o vento frio invadia o quarto,The cold wind rushed into the room through the open window.,78
1387,certamente,av,certainly,escrever uma carta certamente é uma ação social,Letter writing is certainly a social action.,80
1388,estratégia,nf,strategy,"a guerra divide-se em estratégia, planeamento e condução da guerra","War is divided into strategy, planning, and execution.",78
1389,papa,nm,pope,o primeiro concílio do Vaticano postulou que o papa é infalível,The first council of the Vatican postulated that the pope is infallible.,79
1390,unir,v,to unite,"para triunfar, temos de unir nossas melhores forças","To triumph, we must unite our best forces.",78
1391,comandante,nm,commander,"enquanto os comandantes discutiam que forma de ataque deveriam usar, eles foram surpreendidos pelas tropas opostas","While the commanders argued about the way they should attack, they were taken by surprise by the opposing army.",79
1392,inimigo,nm,enemy,boa comida sempre foi inimiga do silêncio à mesa,Good food has always been an enemy to silence at the dinner table.,79
1393,eleitoral,aj,electoral,inicia-se uma campanha pela reforma eleitoral,A campaign for electoral reform is beginning.,78
1394,executivo,na,executive (branch),todos os poderes executivos e legislativos passariam para a posse do rei,All executive and legislative powers would fall to the king.,78
1395,gás,nm,gas,este mar possui enormes reservas de petróleo e de gás natural,This sea contains enormous reserves of petroleum and natural gas.,78
1396,marquês,nm,marquis,o Marquês de Pombal reafirmou o poder centralizado,The Marquis of Pombal restored centralized power.,79
1397,raça,nf,race,na evolução duma raça os milénios são semanas!,"In the evolution of a race, millennia are weeks!",80
1398,palco,nm,stage,O ator subiu ao palco e falou,The actor got up on stage and spoke.,80
1399,independência,nf,independence,"o Turcomenistão conquistou a sua independência à URSS, em 1991",Turkmenistan gained its independence from the USSR in 1991.,79
1400,empregado,na,"employee, employed",a empresa propôs aos seus empregados a divisão dos horários em quatro turnos,The company proposed the division of the schedule into 4 shifts to its employees.,79
1401,começo,nm,"beginning, start","o seu livro, do começo ao fim, transpira honestidade","His book, from beginning to end, breathes honesty.",79
1402,desenhar,v,"to design, draw",a casa foi desenhada por mim,The house was designed by me.,80
1403,descrever,v,to describe,pode descrever o objecto que perdeu?,Can you describe the object you lost?,77
1404,receita,nf,"revenue, income, recipe",metade das receitas do Estado provém da exportação de madeiras,Half of the government’s revenue comes from wood exports.,78
1405,errar,v,"to err, make a mistake","ela errou, não porque errar é humano, mas porque houve desleixo","She erred, not because to err is human, but because she was careless.",80
1406,império,nm,empire,ele ambicionou reconstruir o Império Romano do Ocidente na sua totalidade,His ambition was to rebuild the Western Roman Empire in its totality.,78
1407,explorar,v,"to exploit, explore",a Espanha explorava o Novo Mundo,Spain exploited the New World.,79
1408,critério,nm,criterion,a estabilidade dos preços constitui o primeiro critério de avaliação,Price stability is the first evaluation criterion.,78
1409,deitar,v,to lie down,"acabando, ele tornou logo a deitar na cama com uma febre intensa","Having finished, and suffering from an intense fever, he soon went back to lying on his bed.",76
1410,chamado,aj,"called, so-called, named",este foi o período dominante da chamada escola de Paris,This was the dominant period of the so-called “School of Paris”,79
1411,detalhe,nm,detail,os detalhes técnicos do sistema são muitos,The system’s technical details are many.,79
1412,plástico,na,plastic,ele embrulhou o dinheiro e o bilhete em vários sacos plásticos,He wrapped the money and the ticket in several plastic bags.,78
1413,corda,nf,"string, cord, spring","nos instrumentos de cordas, o tom depende do comprimento da corda","In string instruments, the pitch depends on the length of the string.",79
1414,jamais,av,never,a aula é boa porque o professor jamais impõe a opinião dele,The class is good because the teacher never imposes his opinion on you.,79
1415,juventude,nf,youth,"durante a infância e juventude, ele viveu em Santander, onde estudou","During his childhood and youth, he lived in Santander, where he studied.",79
1416,areia,nf,sand,na maré baixa se formava em frente da casa uma praia de areia negra,"During low tide, a beach of black sand was formed in front of the house.",79
1417,categoria,nf,category,ela conquistou dois Óscares na categoria de melhor actriz,She won two Oscars in the category of Best Actress.,77
1418,controle,nm,control [BP],"Com a inflação sob controle, os grupos internacionais podem planear os seus investimentos","With inflation under control, international groups can plan their investments.",77
1419,comida,nf,food,a comida é deliciosa,The food is delicious.,79
1420,sombra,nf,"shadow, shade",eles pararam então à sombra de uma árvore para descansar,They then stopped in the shade of a tree to rest.,76
1421,limpar,v,to clean,aos sábados ando aqui por casa a limpar as salas e os quartos,On Saturdays I’m up and about cleaning the rooms and bedrooms.,78
1422,biblioteca,nf,library,a Biblioteca Britânica possui mais de cinco milhões de volumes impressos,The British Library contains more than five million volumes.,79
1423,escuro,aj,dark,estava tão escuro como de noite,It was as dark as night.,77
1424,disposto,aj,"willing, arranged",ele estava disposto a tudo para ficar ao lado dela,He was willing to do anything to stay by her side.,80
1425,rural,aj,rural,nestas regiões rurais uma das actividades é a criação de gado,"In these rural regions, one of the activities is raising cattle.",77
1426,disciplina,nf,discipline,arquitectura e escultura foram sempre disciplinas inseparáveis na arte dele,Architecture and sculpture have always been inseparable disciplines in his art.,80
1427,retomar,v,"to resume, retake","em 1995, a França retomou os seus testes nucleares","In 1995, France resumed nuclear testing.",79
1428,neto,nm,"grandson, grandchildren (PL)",para a minha avó eu não era só o seu neto,"To my grandmother, I wasn’t just her grandson.",78
1429,justamente,av,"exactly, actually, just",foi justamente por isso que me escandalizei,It was exactly for that reason that I was shocked.,80
1430,salário,nm,"salary, wage",o salário mínimo visa prevenir a exploração dos trabalhadores,Minimum wage is designed to prevent the exploitation of workers.,77
1431,agricultura,nf,"agriculture, farming","na Europa, a grande revolução na agricultura deu-se no século XVIII","In Europe, the great agricultural revolution occurred in the 18th century.",78
1432,russo,na,Russian,a Revolução Russa levou o socialismo da teoria para a prática,The Russian revolution moved socialism from theory to practice.,76
1433,geralmente,av,"generally, usually",geralmente os serviços de informática não são pesados,"Generally, information technology services don’t require heavy lifting.",76
1434,declaração,nf,declaration,a guerra revolucionária resultou na declaração da Independência,The Revolutionary War resulted in the Declaration of Independence.,77
1435,dimensão,nf,dimension,a dimensão e a profundidade dos lagos é bastante variada,The dimensions and depth of the lakes vary greatly.,78
1436,feira,nf,"fair, open-air market",Exibem os animais nas feiras e nos circos,They exhibit the animals at fairs and in circuses.,77
1437,prender,v,"to apprehend, catch, fasten",mande prender esses homens que fugiram,Order them to go apprehend those who ran away.,78
1438,fala,nf,speech,tenho ouvido a fala da senhora,"I’ve been listening to your manner of speech, Madame.",79
1439,correcto,aj,correct,o senhor acha correcta uma decisão que contribuiu para a crise financeira?,"Sir, do you think that a decision that contributed to the financial crisis is correct?",78
1440,medicina,nf,medicine,"hoje em dia, é usado em medicina, como estimulante cardíaco","Nowadays, it is used in medicine, as a cardiac stimulant.",78
1441,aliança,nf,"alliance, wedding band","não obstante esta aliança entre os dois países, a Espanha declarou guerra","Despite this alliance between the two countries, Spain declared war.",79
1442,faixa,nf,"strip, section, band",a América Central apresenta uma faixa de terra estreita,Central America has a relatively narrow strip of land.,77
1443,vazio,na,"empty, emptiness",ninguém consegue pensar de barriga vazia,Nobody is able to think on an empty stomach.,79
1444,tradicional,aj,traditional,ele aceita a lei tradicional e faz algumas concessões às tendências modernas,He accepts traditional law and makes some concessions to modern tendencies.,76
1445,infantil,aj,"childish, infantile","Simão sentiu-se infantil, à beira do choro e do pânico",Simão felt childish as he was about to cry and panic.,79
1446,acaso,av,by chance,se a rosa tivesse outro nome acaso seria diferente o seu perfume?,"If, by chance, a rose went by another name, would it not smell as sweet?",78
1447,porto,nm,port,foi neste importante porto da costa indiana que ele desembarcou,It was in this important port of the Indian coast that he disembarked.,76
1448,sócio,nm,"partner, associate","na cidade berço, ele foi sócio fundador da Associação","In his hometown, he was a founding partner of the Association.",78
1449,assegurar,v,"to secure, assure","em 1814, a Dinamarca assegurou o seu domínio político","In 1814, Denmark secured its political dominion.",77
1450,código,nm,code,estas moléculas formam a base do código genético,These molecules form the basis for the genetic code.,78
1451,igualmente,av,"also, equally, likewise",as águas são igualmente o habitat de baleias e golfinhos,The waters are also the habitat of whales and dolphins.,77
1452,misturar,v,to mix,a questão estava em como misturar os dois ingredientes em proporções exatas,The question consisted in how to mix the two ingredients in exact proportions.,79
1453,coluna,nf,"column, spinal column","no ano seguinte, ele começa a escrever uma coluna diária no jornal","The following year, he began writing a daily column for the newspaper.",78
1454,versão,nf,version,a sua versão dos factos nunca me convenceu,His version of the facts never convinced me.,76
1455,nordeste,nm,northeast,o Japão é um país insular situado no nordeste da Ásia,Japan is an island country located in the northeast part of Asia.,78
1456,canal,nm,channel,"sob a névoa e a chuva fina, ela entrou pelo canal do porto","Under fog and light rain, she entered through the port’s channel.",77
1457,doze,num,twelve,os doze apóstolos acompanhavam Jesus,The twelve apostles followed Jesus.,79
1458,espalhar,v,to spread,a tendência europeia começa a espalhar-se pelo mundo,This European tendency is beginning to spread throughout the world.,78
1459,ameaçar,v,to threaten,"no mesmo dia, o governo russo ameaçou proceder a retaliações","On the same day, the Russian government threatened to begin retaliating.",78
1460,relativamente,av,"relatively, pertaining to",as informações são relativamente escassas e pouco seguras,The information is relatively scarce and unreliable.,77
1461,quarenta,num,forty,o senhor viu as coisas evoluírem nestes últimos quarenta anos?,"Sir, did you witness an evolution over these last forty years?",79
1462,fiscal,na,"fiscal, customs inspector","no ano fiscal de 1996, os lucros da empresa atingiam milhões","In the fiscal year of 1996, the company’s profits were in the millions.",77
1463,operar,v,to operate,no Brasil existem algumas empresas já operando no sistema de comercialização via Internet,"In Brazil, there are some companies already operating off an internet-based marketing system.",78
1464,década,nf,decade,"na década de 1950, a corrida às armas nucleares foi criticada","In the decade of the 50s, the nuclear arms race was criticized.",75
1465,cinquenta,num,fifty,"era um homem calvo, nos seus cinquenta anos",He was a bald man in his fifties.,78
1466,opor,v,to oppose,as forças dinamarquesas não se puderam opor ao poderoso exército,The Danish forces couldn’t oppose the powerful army.,78
1467,fornecer,v,"to provide, supply",o objetivo da colonização era então fornecer ao mercado europeu produtos tropicais,The objective of the colonization was then to provide tropical products to the European market.,76
1468,floresta,nf,forest,as florestas tropicais caracterizam-se por uma grande diversidade de espécies,Tropical forests are characterized by a great diversity of species.,77
1469,investimento,nm,investment,procura-se atrair o investimento privado através da criação de incentivos económicos,They seek to attract private investments through the creation of economic incentives.,76
1470,paisagem,nf,"landscape, view, surroundings",a colónia conserva uma paisagem urbana própria de uma cidade de fronteira,The colony maintains an urban landscape common to border towns.,78
1471,alternativa,nf,alternative,ele não teve alternativa senão render-se,He had no alternative but to surrender.,77
1472,comentário,nm,"comment, commentary",cada comentário era uma nova risada,Each comment brought new laughter.,78
1473,resolução,nf,resolution,a autoridade sanitária disse que a resolução do problema dependia da Câmara,The Sanitation Authority said that the resolution of the problem was in the hands of the city council.,78
1474,caro,aj,"expensive, esteemed",a gasolina em Portugal é muito cara,Gas in Portugal is very expensive.,78
1475,puxar,v,to pull,puxou-lhe a orelha com força,He pulled forcefully on his ear.,76
1476,recorrer,v,"to appeal, resort to",o médico recorreu a uma especialista,The doctor appealed to a specialist.,78
1477,bem,nm,goods (PL),ele parecia esquecer momentaneamente o dinheiro e os bens terrenos,He seemed to momentarily forget his money and his earthly goods.,77
1478,alteração,nf,"change, alteration",haverá grandes alterações na estrutura política do país,There will be major changes in the political structure of the country.,75
1479,fita,nf,"tape, ribbon",ele também vai requisitar uma cópia da fita de vídeo,He will also check out a copy of the video tape.,78
1480,necessitar,v,to need,o homem necessita de oxigénio,Man needs oxygen.,78
1481,infância,nf,childhood,Paula gosta de se lembrar da sua infância,Paula likes to remember her childhood.,78
1482,prejudicar,v,"to harm, endanger",fumar prejudica gravemente a saúde,Smoking greatly harms your health.,78
1483,lua,nf,moon,"a Lua não tem luz própria, apenas reflecte a luz solar",The moon doesn’t have its own light; it only reflects the light from the sun.,77
1484,distrito,nm,district,o distrito é formado por 19 municípios,The district is made up of 19 municipalities.,75
1485,conceder,v,to grant,o juiz vai conceder um prazo de 30 dias,The judge will grant a period of 30 days.,76
1486,caminhar,v,"to walk, go on foot","enquanto o conde caminhava lentamente pelo parque, vieram-lhe à mente várias cenas","While the count slowly walked through the park, various scenes came to his mind.",76
1487,vara,nf,"stick, staff, rod","encontrei um pedaço de vara, passei a apoiar-me nele","I found a stick, and started to support myself on it.",78
1488,executar,v,"to carry out, execute",as meninas são geralmente obrigadas a executar trabalhos manuais,Girls are generally expected to carry out manual labor.,77
1489,percorrer,v,"to cover (distance), run by/through","ele ficou na terceira posição, tendo percorrido a distância muito rapidamente","He came in third place, having covered the distance very quickly.",78
1490,organizado,aj,organized,as moléculas de celulose estão organizadas em microfibrilhas longas,Cellulose molecules are organized into long micro- fibers.,77
1491,modificar,v,"to change, modify",e mais uma mensagem para que os homens modifiquem seu comportamento e se respeitam mais,It’s just one more message that men should change their behavior and respect each other more.,78
1492,agrícola,aj,agricultural,o seu sistema agrícola dependia de intensa irrigação,Their agricultural system depended heavily on irrigation.,77
1493,adequado,aj,adequate,o federalismo não é o modelo mais adequado,Federalism isn’t the most adequate of models.,77
1494,investir,v,to invest,os sócios investiram 150 mil dólares,The business partners invested $150 thousand dollars.,77
1495,satisfazer,v,to satisfy,os produtores debatem-se já com dificuldades para satisfazer as necessidades de mercado,The producers have already encountered difficulties in satisfying the demands of the market.,78
1496,dente,nm,tooth,ela mostrou os dentes alvos num sorriso alegre,She showed her sparkling teeth in her happy smile.,76
1497,intenso,aj,intense,"em cinco semanas de intensos combates, os turcos perderam","In five weeks of intense combat, the Turks lost.",77
1498,velocidade,nf,"speed, velocity","a velocidade média foi de 39,6 quilômetros por hora",The average speed was 39.6 kph.,75
1499,bloco,nm,"block, bloc",o artista escolhia um bloco de madeira cuja superfície fosse lisa e plana,The artist would choose a block of wood whose surface was smooth and flat.,77
1500,representação,nf,representation,a representação simbólica de uma molécula é denominada fórmula,The symbolic representation of a molecule is called a formula.,75
1501,mental,aj,mental,"a doença mental, mania ou loucura mansa, tem-no amarrado a fundo silêncio","His mental illness, mania or mild insanity, has wrapped him in a profound silence.",78
1502,riqueza,nf,"wealth, riches",a sua riqueza provinha sobretudo da posse de terras,His wealth came mainly from land ownership.,77
1503,chegada,nf,arrival,a única esperança que lhe restava era a chegada de reforços,The only hope he had left was the arrival of reinforcements.,77
1504,escapar,v,to escape,"a jovem, para escapar à ira paterna, resolveu fugir","The young lady, to escape her father’s wrath, decided to run away.",77
1505,absolutamente,av,absolutely,a resposta foi seca e incisiva: – Absolutamente não!,The response was dry and sharp – Absolutely not!,78
1506,imóvel,na,"real-estate, immobile",ele forçou a reforma para obrigar os proprietários de imóveis a alugar as suas propriedades,He pushed through the reform in order to force real estate owners to rent their properties.,77
1507,província,nf,province,"o território divide-se em 22 províncias, cinco regiões autónomas e três municípios","The territory is divided into 22 provinces, 5 autonomous regions and three municipali- ties.",77
1508,habitante,nc,inhabitant,o Brasil tem 152 milhões de habitantes,Brazil has 152 million inhabitants.,75
1509,alimento,nm,"food, nourishment",as pessoas vegan não comem alimentos de origem animal,Vegans don’t eat food of animal origin.,75
1510,combater,v,"to fight, combat",temos de organizar uma estratégia para combater a ditadura,We must organize a strategy to fight the dictatorship.,78
1511,beber,v,to drink,Seu Tónio convidou-me para beber café e eu aceitei,Mr. Tónio invited me to drink some coffee and I accepted.,75
1512,silêncio,nm,silence,o vosso silêncio grave é a melhor resposta,Your grave silence is the best answer.,74
1513,insistir,v,to insist,o presidente insistiu para que o Congresso aprovasse as reformas,The president insisted that Congress pass the reforms.,76
1514,japonês,na,Japanese,o ataque japonês à base americana fez com que os EUA entrassem na guerra,The Japanese attack on the American base caused the USA to enter the War.,76
1515,cobrar,v,"to collect (money), charge",a coroa portuguesa cobrava impostos altíssimos pela produção mineira,The Portuguese crown collected very high taxes on mineral production.,77
1516,cabelo,nm,hair,"seus cabelos eram lisos, despenteados, repartidos ao meio","His hair was straight, unkempt, and parted in the middle.",74
1517,computador,nm,computer,a informação recolhida é processada por um computador,The information gathered is processed by a computer.,75
1518,invadir,v,to invade,a imprensa não tem o direito de invadir a vida privada das pessoas,The press does not have the right to invade people’s private lives.,77
1519,convencer,v,to convince,eu tentava convencê-los com uma ameaça,I tried to convince them with a threat.,76
1520,móvel,na,"piece of furniture, mobile",os móveis da sua sala de jantar eram portugueses,The furniture in his dining room was from Portugal.,77
1521,equilíbrio,nm,"balance, equilibrium",o taoísmo considera que o equilíbrio do universo é mantido por forças opostas,Taoism believes that the balance of the universe is maintained by opposing forces.,76
1522,afectar,v,to affect,a crise económica mundial afectou as exportações,The world economic crisis affected exports.,76
1523,virtude,nf,virtue,as virtudes de lealdade e inteligência destacam-se como traços distintivos de ambas,The virtues of loyalty and intelligence stand out as distinctive traits in both of them.,78
1524,revisão,nf,revision,fizeram a revisão do código civil em 1978,They made the revision of the civil code in 1978.,76
1525,gabinete,nm,"office, cabinet",o director chamou o chefe da fiscalização ao gabinete,The director called the Chief Financial Officer to his office.,77
1526,democracia,nf,democracy,"em democracias políticas, as votações são geralmente secretas","In political democracies, voting is usually secret.",77
1527,norma,nf,"norm, rule, standard",tem de haver normas e regras na sociedade,We have to have standards and rules in a society.,76
1528,experimentar,v,"to experiment, try (something) out",os jovens nos liceus não resistiram a experimentar algumas drogas,The youth in high school didn’t resist experimenting with some drugs.,77
1529,edição,nf,edition,esta edição especial da revista mostrar-lhe-á também o filme do ano,This special edition of the magazine will also tell you what the Film of the Year is.,75
1530,distinguir,v,to distinguish,"é preciso, contudo, distinguir entre razão e imaginação","It is necessary, however, to distinguish between reason and imagination.",75
1531,falso,aj,false,ele pretende derrubar todos os falsos pressupostos que entravam o desenvolvimento científico,He plans on debunking all the false assumptions that have slowed down scientific development.,76
1532,milho,nm,corn,ele dará milho às galinhas,He’ll feed corn to the chickens.,77
1533,proibir,v,to prohibit,o governo aprovou anteontem a lei que proíbe o uso de alto-falantes nos veículos,"The day before yesterday, the government passed a law prohibiting the use of loud speakers in vehicles.",77
1534,exacto,aj,exact,o número exato de mortes ligadas ao soro não está confirmado,The exact number of deaths linked to the serum has not been confirmed.,76
1535,estreito,na,"straight, narrow, strait (water)","procuro as ruas mais estreitas, onde há menos luz e o movimento é menor","I am looking for the narrowest streets, where there is less light and traffic is not so heavy.",76
1536,criticar,v,to criticize,o general criticou o holocausto e criticou o genocídio,The general criticized the Holocaust and criticized genocide.,75
1537,governar,v,"to govern, rule",o maior pecado de um governante é não governar e não servir ao público,The greatest sin of a government official is to fail to govern and serve the public.,77
1538,corrida,nf,race,as corridas de cavalos são os acontecimentos desportivos que mais apostas atraem,Horse races are the sporting events that attract the most bets.,76
1539,resistir,v,to resist,vamos resistir com firmeza às forças imperialistas do governo corrupto,We will firmly resist the imperialist forces of the corrupt government.,76
1540,regional,aj,regional,conseguimos pegar a música regional do Nordeste e misturá-la ao instrumental eletrônico,We were able to take the regional music of the Northeast and mix it with techno music.,74
1541,inspirar,v,to inspire,a bandeira suíça inspirou a da Cruz Vermelha,The Swiss flag inspired the Red Cross’s.,77
1542,curioso,aj,"curious, strange","os meninos espiavam-na, curiosos","Curious, the young boys spied on her.",76
1543,acumular,v,to accumulate,a angústia que se acumulava no seu ser transbordou,The anxiety that had accumulated in him overflowed.,77
1544,doméstico,na,domestic (servant),os porcos (sejam domésticos ou selvagens) eram originariamente da África,Pigs (be they domestic or wild) were originally from Africa.,77
1545,socialista,na,socialist,Fidel Castro afirmou anteontem que seu país permanecerá socialista,Fidel Castro affirmed yesterday that his country will continue to be a socialist country.,75
1546,costume,nm,custom,custa-me bastante adaptar-me aos costumes e à mentalidade alemã,It’s been hard for me to adjust to German customs and way of thinking.,76
1547,símbolo,nm,symbol,sua imagem permanece hoje inalterada como símbolo de rebelião e irreverência juvenil,His image remains unaltered today as a symbol of rebellion and juvenile irreverence.,75
1548,deslocar,v,"to move, dislocate",seria então um erro deslocar esse equipamento para outro local?,Would it then be a mistake to move this equipment to another location?,76
1549,poderoso,aj,powerful,a música é algo muito poderoso,Music is something very powerful.,77
1550,reino,nm,kingdom,o Reino da Dinamarca é governado por uma monarquia constitucional,The Kingdom of Denmark is governed by a constitutional monarchy.,74
1551,medir,v,to measure,"por problemas estatísticos, é impossível medir um índice instantâneo de inflação","Due to statistical considerations, it is impossible to measure an immediate inflation index.",75
1552,relatório,nm,report,o ministério apresentou em maio um relatório sobre as causas do acidente,"In May, the Ministry released a report on the causes of the accident",74
1553,noção,nf,notion,era ainda aquela noção de responsabilidade que me tem atado,"Still, it was that notion of responsibility that bound me.",76
1554,droga,nf,drug,"também tive experiência com uma droga mais pesada, o LSD","I also had experiences with an even heavier drug, LSD.",75
1555,mata,nf,"jungle, woods, forest",eles têm nas matas seu habitat primitivo,The jungle is their original habitat.,76
1556,círculo,nm,circle,no seu círculo de amizades incluiu-se vários reformadores,Several reformers are found within his circle of friends.,76
1557,observação,nf,observation,copérnico começou a fazer observações astronómicas em 1497,Copernicus began his astronomical observations in 1497.,76
1558,reclamar,v,to complain,a Idalina reclamou da minha mania de fechar a porta à chave,Idalina complained about my obsession with locking the door.,76
1559,convite,nm,invitation,já recebeu o convite para o nosso baile?,Have you already received the invitation to our dance?,76
1560,definitivo,aj,definitive,a sua forma definitiva foi-lhe dada pela codificação de Justiniano,Its definitive form was arrived at through the Justinian codification.,78
1561,metal,nm,metal,"todos os metais, com a excepção do Mercúrio, são sólidos","All metals, with the exception of mercury, are solids.",75
1562,buraco,nm,hole,os ratos se escondem durante o dia em buracos,Rats hide in holes during the day.,76
1563,vidro,nm,glass,"de um salto, estilhacei a janela de vidro e fugi","With a single bound, I broke through the glass window and fled.",76
1564,isolado,aj,isolated,todas as autoridades consideraram-no um caso isolado,All of the experts consider it an isolated case.,77
1565,sal,nm,salt,os meus dias eram como a comida sem sal: não tinham gosto,My days were like food without salt: they had no flavor.,76
1566,supremo,aj,supreme,"a corte suprema do reino, com seus 11 membros, levantou-se","The supreme court of the kingdom, with its eleven members, stood up.",76
1567,concreto,aj,concrete,"a Comissão conseguiu provas concretas, materiais, contra os policiais corruptos?","Has the Committee obtained concrete, material proof against those corrupt police officers?",75
1568,individual,aj,individual,a ecologia pode referir-se a organismos individuais ou comunidades inteiras,Ecology can refer to individual organisms or entire communities.,75
1569,colher,v,"to harvest, gather",ele chegou até a plantar batatas e a colhê-las,He went as far as planting potatoes and harvesting them.,76
1570,distante,aj,distant,a noite trouxe-lhes dos campos um rumor distante,Night brought in a distant murmur from the fields.,76
1571,estimar,v,"to estimate, esteem",atualmente não é possível estimar a enorme quantidade de substâncias produzidas industrialmente,Nowadays it is impossible to estimate the enormous quantity of industrially produced substances.,76
1572,acordar,v,to wake up,desejava dormir e acordar só dali a muito tempo,He wanted to sleep and not wake up for a long time.,74
1573,raio,nm,ray,uma lente convexa faz com que os raios de luz convirjam,A convex lens makes it so that light rays converge.,74
1574,suportar,v,"to endure, support, bear","ganhei, além disso, uma certa capacidade de suportar a dor física","I gained, besides, a certain capacity to endure physical pain.",76
1575,honra,nf,honor,"no mês de maio, eles ofereciam sacrifícios em honra dos deuses","In the month of May, they would offer sacrifices in honor of the gods.",75
1576,ameaça,nf,"threat, threatening",a principal ameaça à sobrevivência dos patos é a caça,The main threat to the ducks’ survival is hunting.,76
1577,sindicato,nm,"workers’ union, syndicate",o sindicato e os trabalhadores vão exigir do governo os respectivos reajustes,The workers’ union and the workers will demand the necessary adjustments from the government.,74
1578,encher,v,to fill,os olhos se lhe encheram de lágrimas,His eyes filled with tears.,74
1579,herói,nm,hero,ele é um herói da Guerra do Paraguai,He is a hero of the Paraguayan War.,76
1580,precisamente,av,precisely,Gorbatchov chegou precisamente quando os estudantes se manifestavam,Gorbachev arrived precisely when the students were protesting.,77
1581,específico,aj,specific,poderíamos ser muito mais específicos em as nossas descrições,We could be much more specific with our descriptions.,74
1582,pesado,aj,heavy,"com 15 toneladas de peso, foi a carga mais pesada jamais transportada","Weighing 15 tons, it was the heaviest load ever carried.",77
1583,extremamente,av,extremely,tem-se revelado extremamente difícil chegar a qualquer acordo,It has turned out to be extremely difficult to reach an agreement.,75
1584,aventura,nf,adventure,sua preferência são os filmes de aventura,He prefers adventure films.,76
1585,lógica,nf,logic,"esse argumento é falacioso, não tem lógica nenhuma",That argument is fallacious; it has no logic to it.,75
1586,parecer,nm,"opinion, appearance",o parecer dele era sempre sobremodo néscio e tolo,His opinion was always extremely ignorant and foolish.,76
1587,assistência,nf,assistance,a escola deveria oferecer mais assistência médica,The school should have more medical assistance.,76
1588,justo,aj,"just, fair",fui demitido do meu trabalho sem justa causa,I was fired from my job without just cause.,75
1589,montanha,nf,mountain,no cume das mais altas montanhas eles viam jazer a neve,"On the peaks of the highest mountains, they saw a blanket of snow.",76
1590,regresso,nm,return [EP],o ano de 2000 parece representar um regresso à situação que vivemos antes. [EP],The year 2000 seems to represent a return to a condition we experienced before.,76
1591,humanidade,nf,humanity,o melhor é usar a ciência para o bem da humanidade,It is best to use science for the good of humanity.,77
1592,apresentação,nf,presentation,as apresentações são acompanhadas pela orquestra,The presentations are accompanied by the orchestra.,75
1593,academia,nf,"academy, gym","ele frequentou a Academia de Belas-Artes, pois queria ser pintor","He attended the Academy of Fine Arts, for he wanted to be a painter.",76
1594,interessado,aj,interested (party),"curiosamente, as pessoas mostram-se mais interessadas em dar do que em receber","Interestingly, people seem to be more interested in giving than in receiving.",75
1595,meter,v,"to put into, get involved (+se)",ele tornou a meter a mão no bolso e retirou um segundo envelope,He again put his hand into his pocket and took out a second envelope.,73
1596,ai,i,"oh, ouch, ow","Ai, meu Deus!",Oh my God!,73
1597,universal,aj,universal,o Esperanto provou a possibilidade de haver uma língua literária universal,Esperanto proved the possibility of there being a universal literary language.,75
1598,inteligência,nf,intelligence,actualmente estuda-se a inteligência artificial,"Currently, artificial intelligence is being studied.",76
1599,recordar,v,"to recall, remember",ele atormentou-se recordando que se divertia enquanto o outro estava padecendo,"He tortured himself, recalling that he was enjoying himself while another was suffering.",73
1600,caça,nf,hunt,a caça e a pesca tornaram-se o meio principal para a subsistência,Hunting and fishing became their main method of subsistence.,76
1601,capítulo,nm,chapter,ele leu três capítulos do livro e ficou decepcionado,He read three chapters of the book and became disappointed.,74
1602,frequentar,v,to attend,ele frequentou a Universidade de Columbia,He attended the University of Columbia.,76
1603,prosseguir,v,to proceed,"o médico prosseguiu, pondo o adesivo na perna do doente",The doctor proceeded by bandaging the leg of the patient.,75
1604,choque,nm,shock,"na terapia eléctrica, o paciente recebe um choque","In electrotherapy, the patient receives a shock.",76
