Rank,Word,Part of Speech,English Translation,Phrase,English Phrase,Frequency
929,civil,nadj,civil; civilian,la protection des citoyens et des civils est une cause excellente,the protection of citizens and civilians is an excellent cause,71
930,nécessité,nf,"necessity, need",nous sommes conscients de la nécessité de réduire ces cotisations,we’re aware of the need to reduce these subscriptions,80
931,juin,nm,June,deux pays ont signé en juin un accord,two countries signed an agreement in June,67
932,danger,nm,danger,le cyclisme est en danger de mort,cycling is in danger of dying out,71
933,complexe,nadj(f),complex,les problèmes et les solutions sont complexes,the problems and solutions are complex,83
934,commerce,nm,"trade, commerce",nous ne sommes pas contre le commerce équitable,we aren’t against equitable commerce,70
935,transport,nm,transportation,il nous faut un transport plus rapide,we need a faster means of transportation,72
936,attente,nf,wait,"six mois d’attente, c’est beaucoup trop long","six years of waiting, that’s much too long",83
937,institution,nf,institution,nous devons réformer ces institutions,we must reform these institutions,74
938,défense,nf,defense,je me porte à la défense de la personne responsable,I’m here to help defend the person responsible,74
939,janvier,nm,January,j’irai en Californie en janvier prochain,I’ll be going to California next January,66
940,échapper,v,to escape,on ne peut pas y échapper,you can’t escape it,81
941,négociation,nf,negotiation,il se présente à la table de négociation,he shows up at the negotiation table,65
942,franc,"adj, adv, adj, nm",frank; franc,le vétérinaire avait un regard franc,the veterinarian had a candid look,55
943,mai,nm,May,elle avait disparu le 30 mai dernier,she had disappeared last May 30,68
944,septembre,nm,September,elle est née un 22 septembre,she was born on September 22,69
945,environnement,nm,environment,nous rejetons la nécessité de protéger notre environnement,we reject the need to protect our environment,64
946,séparer,v,to separate,ce sont deux mondes séparés qui ont des interfaces,they are two separate worlds that have interfaces,80
947,réaction,nf,reaction,j’estime que leur réaction est naturelle,I judge their reaction to be normal,82
948,disposition,nf,"arrangement, disposition",elle tenait de notre père une disposition mélancolique,she got a melancholy disposition from our father’s side,64
949,positif,nadj,positive,les réactions des téléspectateurs sont très positives,the reactions of the viewers were very positive,78
950,scientifique,nadj(f),scientific,le nom scientifique de ma maladie ne l’intéressait pas,he wasn’t interested in the scientific name of my disease,75
951,papier,nm,paper,ils veulent juste voir nos papiers,they just wanted to see our papers,74
952,expression,nf,expression,cette expression a un sens extrêmement simple,this expression has an extremely simple meaning,80
953,protection,nf,protection,on voudrait créer des aires de protection marines,they wanted to create marine conservation areas,68
954,indépendant,nadj,independent,"il est indépendant financièrement, cultivé et cinglé","he’s financially independent, cultivated, and nuts",77
955,carte,nf,card,j’ai reçu votre carte,I received your card,81
956,association,nf,association,l’association a vocation à être une entreprise,the association’s goal is to become a company,73
957,régler,v,"to pay, adjust, settle",vous ne réglerez rien avec l’argent,you won’t settle anything with the money,77
958,modèle,nm,model,votre styliste va nous proposer trois modèles,your stylist is going to show us three models,73
959,commander,v,"to order, command",il a commandé plusieurs exemplaires du guide de référence,he ordered several copies of the reference guide,76
960,étudier,v,to study,j’ai étudié la situation avant de venir ici,I studied the situation before coming here,73
961,déterminer,v,"to determine, find out, specify",il faut plutôt déterminer si le contrat était juste,rather we should determine out whether the contract was accurate,72
962,budget,nm,budget,il paraît assez douteux que le budget soit rejeté,it seems rather unlikely that the budget would be rejected,59
963,fonder,v,"to found, set",il a fondé la société,he founded the company,80
964,structure,nf,structure,une structure bien déterminée est choisie,a well specified structure is chosen,74
965,complet,"adj, nm","full, complete; suit","je veux un rapport complet sur mon bureau, demain",I want a complete report on my desk tomorrow,79
966,exercer,v,"to exercise, exert, practise, carry out",j’ai également exercé diverses fonctions dans ce secteur,I also carried out various roles in this sector,77
967,amour,nm,love,rien ne pourrait détruire mon amour pour toi,nothing could destroy my love for you,63
968,manifester,v,"to show, demonstrate, display",il avait manifesté son hostilité contre elle,he displayed his hostility toward her,82
969,menacer,v,to threaten,ils ont menacé de l’incarcérer et de le torturer,they threatened to imprison and torture him,75
970,conseiller,"nm, v","adviser, to advise",je lui conseille de consulter le dictionnaire,I advised her to consult the dictionary,79
971,réunion,nf,meeting,j’ai moi-même participé à diverses réunions de la troïka,I even attended several of the trilateral meetings,69
972,opposition,nf,opposition,il est membre de l’opposition officielle,he is a member of the official opposition,62
973,maladie,nf,"illness, disease",ce n’est pas une maladie psychiatrique,it’s not a psychiatric illness,74
974,outre,"adv, prep",besides,il a en outre publié deux ouvrages,he also published two works,73
975,tandis,,while,il pria tandis que l’océan gelait,he prayed while the ocean froze over,74
976,construction,nf,"construction, building",son rôle dans la construction du produit final,his role in building the final product,76
977,bande,nf,"band, strip",Le Chili est une longue et étroite bande de terre,Chile is a long and narrow strip of land,70
978,signal,nm,signal,on va perdre le signal,we’re going to lose the signal,42
979,voisin,nadj,neighbor,je l’expédie chez le petit voisin,I sent him to the little neighbor’s house,79
980,réforme,nf,reform,"les réformes continuent, et ces pays progressent","the reforms continue, and these countries are progressing",68
981,rejeter,v,to reject,je rejette l’argument invoqué fréquemment aujourd’hui,I reject the argument invoked often today,72
982,novembre,nm,November,rappelez-vous où vous étiez le 1er novembre?,do you remember where you were on November 1st?,70
983,fonds,nm(pl),funds,cela vient des fonds publics,this comes from public funds,62
984,coûter,v,to cost,cette décision va coûter des milliards de dollars,this decision will cost billions of dollars,81
985,reprise,nf,"resumption, renewal; time",elle l’a prouvé à maintes reprises,she proved it many times,72
986,presse,nf,press,la presse aime bien les grands titres,the press really likes dramatic headlines,63
987,rouge,nadj(f),red,"le sang a séché, le rouge est devenu brun","the blood dried, red turning to brown",75
988,majorité,nf,majority,la grande majorité n’en faisait rien,the great majority didn’t do anything about it,70
989,autoriser,v,to authorize,aucun fait n’autorise cette accusation de jalousie,no fact licenses this accusation of jealousy,74
990,effectuer,v,"to carry out, undergo",elle avait effectué trois jours de prison,she had served three days of prison time,71
991,bord,nm,"edge, side",voyant un banc au bord du trottoir je m’y assis,seeing a bench alongside the sidewalk I sat down,75
992,central,nadj,central,elle habitait dans le quartier central de la ville,she lived in the city’s central neighborhood,66
993,procédure,nf,procedure,"pour cela, il existe une procédure spéciale","for that, a special procedure exists",60
994,faveur,nf,favor,je me prononcerai en faveur des amendements,I will declare myself in favor of the amendments,70
995,éducation,nf,education,l’éducation est devenue obligatoire,education has become mandatory,74
996,officiel,nadj,official,ils doivent fournir une réponse honnête et officielle,they have to provide an honest and official response,68
997,document,nm,document,je suis un document vivant!,I’m a living document!,66
998,aspect,nm,aspect,il a oublié quelques aspects de la gastronomie,he forgot some aspects of gastronomie,75
999,retourner,v,"to return, go back",je ne retournerai pas sur la Terre,I will not return to Earth,71
1000,professionnel,nadj,professional,il est entré dans la vie professionnelle voilà huit ans,he entered professional life eight years ago,73
1001,auparavant,adv,beforehand,je n’ai jamais vu cela auparavant,I’ve never seen that before,85
1002,animal,nadj,animal,le singe aussi est un animal familier,the monkey is also a familiar animal,81
1003,utile,adj(f),useful,"l’hypocrisie, pour être utile, doit se cacher","hypocrisy, to be useful, must be hidden",83
1004,inscrire,v,"to register, write down",j’inscrivis mon nom sur la fiche,I wrote down my name on the card,78
1005,concurrence,nf,competition,Pékin est en concurrence avec Paris,Peking is in competition with Paris,77
1006,déclaration,nf,declaration,nous devons répondre à cette déclaration,we must respond to this declaration,65
1007,rejoindre,v,"to rejoin, reunite","allez, rejoignez votre famille","go, rejoin your family",81
1008,mille,"det, nm, nmi",a thousand,leur culture a duré quelque vingt mille ans,their culture lasted some twenty thousand years,59
1009,absolument,adv,absolutely,cela ne veut absolument rien dire,that means absolutely nothing at all,75
1010,prison,nf,prison,les prisons sont la solution à la délinquance juvénile,prisons are the solution to juvenile deliquence,73
1011,armée,nf,army,"l’armée fait retraite, sans avoir combattu","the army retreats, without having fought",63
1012,revenu,nm,income,les hauts revenus ne verront pas la différence,high-income people will not see the difference,61
1013,complètement,"adv, nm",completely,le ciel est complètement couvert,the sky is completely overcast,79
1014,confirmer,v,to confirm,cette information n’a pas été confirmée,this information was not confirmed,71
1015,salaire,nm,"salary, wage",beaucoup de travailleurs gagnent le salaire minimum,many workers earn minimum wage,80
1016,lecture,nf,reading,elle consacrait son temps à la lecture,she consecrated her time to reading,70
1017,contribuer,v,to contribute,la consommation de drogues illicites contribue à la criminalité,illegal drug use contributes to crime,73
1018,attaquer,v,to attack,il est temps d’attaquer le mal à la racine,it’s time to attack evil at its roots,78
1019,table,nf,table,la bouteille est là sur la table,the bottle is there on the table,72
1020,remonter,v,to go back up,notre dernière participation remontait au génocide rwandais,our last participation goes back to the Rwandan genocide,83
1021,certes,adv,"indeed, certainly, of course",le rapport ne fournit certes pas de solution miracle,the report certainly doesn’t provide the miraculous solution,79
1022,avril,nm,April,je suis né le 10 avril,I was born on April 10th,68
1023,autrement,adv,"differently, something else, otherwise",les Américains ont décidé d’agir autrement,the Americans decided to act otherwise,81
1024,ferme,"adj(f), adv, nf",farm; firm,les parents doivent parfois se montrer fermes,parents should sometimes stand firm,78
1025,désormais,adv,"from now on, henceforth",c’est désormais chose faite,it’s henceforth a done deal,71
1026,lourd,adj,heavy,nous avons accepté une lourde partie de la responsabilité,we have accepted a heavy part of the responsibility,79
1027,susciter,v,"to arouse, provoke",une femme qui a étudié la théologie suscite toujours quelque méfiance,a woman who has studied theology still arouses some suspicion,83
1028,république,nf,republic,"je rêve d’une république indépendante, libre et démocratique","I dream of an independent, free, democratic republic",69
1029,dur,"adv, nadj",hard,il va traverser des moments très durs,he will pass through very difficult times,76
1030,application,nf,application,l’accord sera mis en application,the agreement will be enacted,67
1031,lutter,v,"to struggle, fight",je me préoccupe de lutter contre la pauvreté,I’m busy fighting against poverty,85
1032,profit,nm,"profit, benefit",j’ai toujours profit à l’écouter,I always benefit from listening to her,80
1033,contenir,v,to contain,ce livre contient donc un message,so this book contains a message,70
1034,déposer,v,"to deposit, put down",pourquoi ne dépose-t-il pas ses bagages?,why doesn’t he set down his luggage?,70
1035,modifier,v,"to modify, adjust",nous pouvons modifier nos paramètres,we can adjust our parameters,61
1036,communication,nf,communication,aucun moyen de communication n’a été fermé par le gouvernement,no means of communication was cut off by the government,66
1037,jugement,nm,judgement,il faut que son jugement s’exerce très très très rapidement,his judgment must be exercised very very very quickly,84
1038,manque,nm,lack,c’est aussi un manque de respect,it’s also a lack of respect,84
1039,échec,"adji, nm",failure,l’objectif central est de combattre l’échec scolaire,the main goal is to fight failure in schools,80
1040,traverser,v,"to cross, traverse",c’est suicidaire de traverser seul la galaxie entière,it’s suicidal to traverse the whole galaxy alone,80
1041,transformer,v,to transform,cela s’est transformé en un match physique,it was transformed into a physical contest,81
1042,engagement,nm,"agreement, commitment",mon premier engagement fut de nature politique,my first appointment was political in nature,73
1043,frère,nm,brother,"tu es mon frère, et je t’aime","you’re my brother, and I love you",73
1044,mardi,nm,Tuesday,des manifestations se sont déroulées mardi,protests took place Tuesday,53
1045,rencontre,nm,meeting,"le matin, je vais à la rencontre du soleil",in the morning I go to meet the sun,68
1046,vote,nm,vote,le vote aura lieu aujourd’hui,the vote will take place today,59
1047,renvoyer,v,"to send back, dismiss",il devrait renvoyer le signal de libération au réseau,he had to send the liberation signal to the network,81
1048,regretter,v,to regret,tous étaient violents. peu regrettaient leurs actes,everybody was violent. few regretted their acts,82
1049,espèce,nf,species,c’est une espèce en voie de disparition,that’s an endangered species,76
1050,recommandation,nf,recommendation,nous avons fait neuf recommandations précises,we made nine specific recommendations,49
1051,consister,v,to consist,en quoi consiste ton travail?,what does your job consist of?,78
1052,réagir,v,to react,tu réagis comme une enfant,you’re reacting like a child,84
1053,surprendre,v,to surprise,"mon garçon, parfois tu me surprends","my son, sometimes you surprise me",83
1054,circonstance,nf,circumstance,les circonstances ne sont pas idéales,the circumstances are less than ideal,82
1055,témoin,nm,witness,j’ai des témoins. ma femme a été enlevée,I have witnesses. my wife was kidnapped,78
1056,améliorer,v,to improve,la situation semblait s’améliorer,the situation seemed to improve,69
1057,administration,nf,administration,les administrations précédentes ont perdu toute autorité,the preceding administrations have lost all authority,70
1058,réfléchir,v,to reflect,j’ai réfléchi à la question,I thought about the question,79
1059,lumière,nf,light,elle était juste heureuse de voir la lumière du jour,she was happy to see daylight again,68
1060,vert,nadj,green,"il avait 23 ans, des yeux vert émeraude","he was twenty-three years old, with emerald green eyes",79
1061,apprécier,v,to appreciate,ils n’apprécient pas le spectacle,they don’t appreciate the show,84
1062,combat,nm,"fight, combat",nous devons nous préparer pour le grand combat,we must prepare for the big battle,75
1063,sensible,nadj(f),sensitive,je dois avoir touché une corde sensible,I must have touched a sensitive nerve,83
1064,étudiant,nadj,student,les dames serviront à boire aux étudiants,the ladies served drinks to the students,69
1065,vitesse,nf,speed,accélérez en vitesse d’attaque,accelerate to attack speed,84
1066,malade,nadj(f),"ill, sick","ton père est malade, il aimerait te voir","your father is sick, he wants to see you",78
1067,portée,nf,"range, reach, scope",Linux est à présent à la portée du grand public,Linux is now within reach of the general public,91
1068,élève,"nm, nf","pupil, student",ils ont été mes élèves,they were my students,82
1069,contrôler,v,"to control, check, inspect, monitor",c’est la volonté du propriétaire de contrôler ce qui se passe chez lui,it’s up to the owner to decide whether to check up on what’s happening at his house,78
1070,merci,"intj, nm, nf",thank you; favor,merci pour la bière,thanks for the beer,54
1071,certainement,adv,certainly,ce n’est certainement pas nous qui ferons cela,we are certainly not the ones to do that,76
1072,visite,nf,visit,"je reviendrais bien ici, en visite",I would gladly come back here on a visit,69
1073,assemblée,nf,"assembly, meeting",la direction organisa une assemblée générale,management organized a general meeting,70
1074,émission,nf,"transmission, broadcasting, programme","une émission de télé passe, les écrits restent","a TV show disappears, but writings persist",59
1075,arrivée,nf,arrival,on annonçait notre arrivée dans le quartier,our arrival was noised about in the neighborhood,67
1076,puissance,nf,power,la Chine est une puissance importante sur la scène mondiale,China is an important power on the global scene,67
1077,partenaire,"nm, nf",partner,nous pourrions être amis! partenaires. frères d’arme,"we could be friends, partners, brothers in arms",77
1078,contenter,v,"to satisfy, please",tu te contenteras d’être le chauffeur,you will be satisfied to be the driver,86
1079,perte,nf,loss,c’était une perte de temps d’aller chez le médecin,it was a waste of time to go see the doctor,75
1080,libéral,nadj,liberal,nous avons maintenant un gouvernement libéral,we now have a liberal government,54
1081,citoyen,nadj,citizen,les gouvernements doivent représenter tous les citoyens,governments must represent every citizen,67
1082,citer,v,to quote,j’aimerais citer quatre paragraphes,I would like to cite four paragraphs,75
1083,influence,nf,influence,la France perdit de son influence,France lost her influence,79
1084,camp,nm,camp,on n’a jamais bombardé nos camps,our camps were never bombed,76
1085,établissement,nm,"establishment, organization",l’établissement de systèmes de contrôle est important,it’s important to establish verification systems,69
1086,vendredi,nm,Friday,"vendredi en quinze, on prend le train",two weeks from Friday we take the train,53
1087,avance,nf,advance,j’arrivai au cours en avance,I arrived to class early,81
1088,destiner,v,"to intend, be used",ce programme n’est pas destiné aux informaticiens,this program is not meant for computer scientists,75
1089,causer,v,to cause,tout ceci a causé une certaine frustration,this all caused some frustration,82
1090,nord,"adji, nm",north,les tensions raciales ont explosé dans le nord,racial tensions have exploded in the north,59
1091,lundi,nm,Monday,il quitte l’hôpital ce lundi,he leaves the hospital this Monday,53
1092,maître,nm,master,je suis le maître de ta vie et de ta mort,I am the master of your life and of your death,72
1093,interroger,v,"to question, interrogate",on doit vous interroger sur ces événements,you should be questioned about these events,74
1094,conférence,nf,conference,un certain nombre de séminaires et de conférences ont été organisés,several seminars and a conference were organized,71
1095,provoquer,v,to provoke,je ne veux pas provoquer de révolte,I don’t want to provoke a revolution,70
1096,vente,nf,sale,je m’oppose à la taxe de vente,I’m opposed to the sales tax,68
1097,ramener,v,"to bring back, return, take back","je me demandais, tu pourrais me ramener chez moi?","I was wondering, could you take me back home?",79
1098,soldat,nm,soldier,voilà nos petits soldats qui sont venus nous aider,here come our little soldiers to help us out,67
1099,collègue,"nm, nf",colleague,je remercie mon collègue pour sa contribution d’hier,I thank my colleague for his contribution yesterday,54
1100,concevoir,v,to conceive,j’ai alors conçu le projet,then I conceived the project,82
1101,procéder,v,to proceed,j’ai procédé à l’arrestation,I proceeded with the arrest,76
1102,poids,nm(pl),weight,c’est comme un énorme poids posé sur votre poitrine,it’s like an enormous weight placed on your chest,83
1103,voici,prep,"here is, here are, this is, these are",voici le résultat de l’essai,here’s the result of the test,76
1104,acquérir,v,to acquire,ce mot a acquis une connotation très particulière,this word has acquired a very particular connotation,82
1105,moindre,adj(f),"lesser, least, slightest",il n’avait absolument pas la moindre idée,he didn’t have the slightest clue,76
1106,convenir,v,"to agree, be suitable",seul un partenaire de même philosophie pourra leur convenir,only a partner with the same outlook will be agreeable to them,69
1107,logique,nadj(f),"logic, logical",je ne suis pas la logique de l’argument,I don’t follow the logic behind the argument,77
1108,examiner,v,to examine,ils ont fini d’examiner la maison,they finished examining the house,65
1109,soin,nm,care,tu peux prendre soin de toi toute seule,you can take care of yourself alone,64
1110,mesurer,v,to measure,il mesure un mètre soixante-huit,he’s one meter sixty-eight tall,75
1111,traitement,nm,"treatment, salary, wage",vous acceptez d’être soumis au traitement,you accept to undergo the treatment,69
1112,jeudi,nm,Thursday,le jugement de jeudi pourrait influencer une autre affaire,Thursday’s judgment could influence another matter,52
1113,impliquer,v,"to imply, implicate",je suis désolé de t’avoir impliqué,I’m sorry I had you implicated,77
1114,science,nf,science,la psychanalyse est une science du vivant,psychoanalysis is one of the life sciences,75
1115,individu,nm,individual,ce type d’individu n’a rien à faire en prison,this type of individual doesn’t belong in prison,77
1116,donnée,nf,"fact, datum","tout en travaillant, il nota les données sur son carnet",while working he jotted down data in his notebook,60
1117,demi,"adji, adv, nm",half,rentrer déjeuner à midi et demi tous les jours,come back for lunch at 12:30 every day,81
1118,combattre,v,to fight,nous avons combattu pour chaque détail,we fought for every detail,86
1119,violent,nadj,violent,évitez de recourir à des moyens trop violents,avoid relying on overly violent means,82
1120,comporter,v,"to comprise, include; to behave",tâche de bien te comporter,try to be well-behaved,80
1121,suivant,"nadj, prep",following,"les 20 jours suivants, ils meurent de faim","in the 20 days that followed, they starve to death",64
1122,mériter,v,"to deserve, merit",tout le monde mérite d’avoir sa chance,everyone deserves a chance,80
1123,emprunter,v,to borrow,tout ce que tu as emprunté s’évanouira en fumée,everything you borrowed will vanish in smoke,90
1124,conscience,nf,"conscience, consciousness",j’acquérais une conscience plus attentive des autres,I acquired a more attentive conscience than most,72
1125,traduire,v,to translate,elle peut être traduite dans un langage mathématique précis,it can be translated into a precise mathematical language,78
1126,sang,nm,blood,il y a du sang dans vos cheveux,there’s blood in your hair,71
1127,millier,nm,thousand,des milliers d’entre eux refusent de partir,thousands of them are refusing to leave,71
1128,emporter,v,"to take, remove","il n’emporte rien avec lui, pas même une chemise","he doesn’t take anything with him, not even a shirt",80
1129,initiative,nf,initiative,nombreuses furent les critiques contre ces initiatives,numerous criticisms were leveled against these initiatives,64
1130,nucléaire,adj(f),nuclear,une attaque nucléaire? c’est une possibilité,a nuclear attack? it’s possible,70
1131,industriel,nadj,industrial,les sociétés industrielles de ce temps mobilisent,industrial societies of this time are mobilizing,66
1132,vif,nadj,lively,les agents du mal étaient brûlés vifs,the instigators of evil were burned alive,79
1133,exact,adj,"exact, correct",l’histoire est une science exacte,history is an exact science,84
1134,exception,nf,exception,vous ne pouvez pas faire une exception?,can’t you make an exception?,84
1135,doubler,v,"to double, pass; to dub",il essaie de nous doubler,he’s trying to drive past us,90
1136,février,nm,February,nous devons maintenant attendre jusqu’en février,we must now wait until February,65
1137,mode,"nm, nf","mode, way, fashion",on a souvent critiqué le mode de recrutement des juges,recruitment methods for judges are often criticized,67
1138,tendre,"nadj(f), v","to tighten; to extend, stretch; tender","il faut parler, tendre la main, dialoguer","you have to speak, reach out, dialogue",72
1139,musique,nf,music,la musique transforme les gens,music transforms people,67
1140,gestion,nf,management,et je fournis l’expérience de gestion,and I have management experience,63
1141,honneur,nm,honor,c’est un grand honneur de vous rencontrer,it’s a great honor to meet you,68
1142,vaste,adj(f),"vast, immense","c’est très vaste comme sujet, mais c’est fascinant","it’s a huge subject, but it’s fascinating",82
1143,évoquer,v,"to recall, evoke",on peut l’écouter des heures évoquer des souvenirs,you could listen to her for hours evoking memories,72
1144,fonctionner,v,"to function, work","le processus fonctionne, et fonctionne bien","the process works, and works well",73
1145,étape,nf,"stage, step",je vais procéder étape par étape,I’m going to proceed step by step,71
1146,physique,nadj(f),"physical, physics",j’aime aussi beaucoup l’activité physique,I also really like physical activity,76
1147,accuser,v,to accuse,de quoi nous accusez-vous?,what are you accusing us of?,69
1148,parfaitement,adv,perfectly,votre baladeur fonctionne parfaitement,your Walkman works perfectly,82
1149,méthode,nf,"method, procedure",j’avais deviné la bonne méthode à suivre,I guessed the right procedure to follow,67
1150,professeur,"nm, nf","professor, teacher",je serais professeur dans un lycée,I would be a teacher in a high school,74
1151,envers,"nm(pl), prep",towards,nous respectons nos engagements envers les minorités,we honor commitments to the minorities,79
1152,distribuer,v,"to distribute, give out",ces valeurs se distribuent selon une courbe en cloche,these values are distributed along a bell curve,89
1153,existence,nf,existence,je menais une drôle d’existence,I led a strange life,74
1154,prétendre,v,to pretend,il prétend avoir un portable,he claims to have a mobile phone,78
1155,global,adj,global,l’opération peut être locale ou globale,the operation can be local or global,74
1156,dommage,nm,"damage, harm; too bad",dommage que les choses aient mal tourné,too bad things turned out as badly as they did,86
1157,crédit,nm,credit,le gouvernement socialiste voulait mettre le crédit au service de l’économie,the socialist government wanted to make credit work for the economy,64
1158,tendance,nf,"tendency, trend",les entreprises creés ont tendance à grossir,the enterprises that were created tend to grow bigger,74
1159,chaîne,nf,"chain, channel",la chaîne a programmé ce divertissement le mardi soir,the channel scheduled this entertainment for Tuesday night,72
1160,relatif,nadj,relative,tout est relatif dans la vie,everything is relative in life,64
1161,note,nf,"note, grade",je prends des notes comme un fou,I’m taking notes like crazy,86
1162,réserve,nf,reserve,toute ma réserve d’énergie va être gaspillée,all of my spare energy is about to be wasted,69
1163,maximum,nadj,maximum,je vais essayer de faire le maximum,I will try to do my best,84
1164,moteur,nadj,motor,il avait éteint le moteur,he had stopped the engine,88
1165,version,nf,version,vous avez entendu les deux versions de l’incident,you have heard both versions of the incident,81
1166,règlement,nm,"rule, regulation",il existe déjà des règlements dans ce secteur,there is already regulation in this sector,54
1167,couple,"nm, nf",couple,le couple qui prie ensemble reste ensemble,the couple that prays together stays together,84
1168,mercredi,nm,Wednesday,je ne serai payée que mercredi,I won’t be paid until Wednesday,51
1169,régional,nadj,regional,il existe toujours deux taux régionaux,there have always been two regional rates,68
1170,sinon,conj,"otherwise, or else","mais n’anticipons pas, sinon nous n’arriverons jamais",let’s not get impatient or we’ll never arrive there,75
1171,entreprendre,v,"to begin, start, undertake",la dame blanche entreprend de monter l’escalier,the white lady undertook to climb the stairs,82
1172,au-delà,"adv, nmi",beyond,la réalité va au-delà des concepts,reality surpasses concepts,79
1173,étendre,v,"to spread out, stretch out",je me suis étendue sur le sol de ma chambre,I stretched out on the floor of my bedroom,79
1174,sortie,nf,exit,il alla chercher Josette à la sortie du théâtre,he went to look for Josette at the theatre exit,72
1175,profond,"adv, nadj",deep,le ciel était d’un bleu profond,the sky was a dark blue,76
1176,décrire,v,to describe,je n’aurais qu’à décrire ce que je voyais,all I had to do was describe what I saw,67
1177,etc,,"etc., et cetera","j’ai dormi dans les gares, etc.","I slept in train stations, etc.",66
1178,récent,adj,recent,quel est votre regard sur les récents déboires?,what is your opinion of the recent disappointments?,77
1179,télévision,nf,television,elle t’a vu à la télévision,she saw you on the television,67
1180,retraite,nf,"retirement, pension",c’était un rocker à la retraite,he’s a retired rock-n-roll artist,69
1181,art,nm,art,j’ai perdu l’art de convaincre,I lost the art of convincing,74
1182,frontière,nf,border,il essaie d’atteindre la frontière,he’s trying to reach the border,70
1183,égal,nadj,equal,tout le monde ne sera pas égal devant la loi,everyone will not be equal before the law,78
1184,promesse,nf,promise,pensez-vous qu’elle va tenir sa promesse?,do you think she’ll keep her promise?,86
1185,entretenir,v,to maintain,je n’ai jamais entretenu de relations amicales avec lui,I never maintained amical relations with him,82
1186,habiter,v,to live,j’ai habité dix ans la France,I lived in France for ten years,81
1187,quartier,nm,"district, quarter",ils vivaient dans les quartiers les plus pauvres,they lived in the poorest neighborhoods,74
1188,avocat,nm,lawyer,j’étais avocat avant de venir ici,I was a lawyer before coming here,73
1189,accueillir,v,"to welcome, greet, accommodate",on va vers les étrangers pour les accueillir,we’re going to greet the foreigners,78
1190,libérer,v,"to free, liberate, release",tous les prisonniers furent libérés sans condition,all the prisoners were freed unconditionally,76
1191,vivant,nadj,"alive, living","si elle est vivante, je te la ramènerai","if she’s alive, I’ll bring her back to you",75
1192,université,nf,university,la grève se généralise dans les universités,the strike is widening in the universities,71
1193,rire,"nm, v",to laugh,l’aventure nous fit beaucoup rire,the adventure made us laugh heartily,60
1194,facilement,adv,easily,j’ai retrouvé facilement le carton,I easily located the cardboard box,86
1195,crainte,nf,fear,je n’ai absolument pas eu de crainte,I had absolutely no fear,85
1196,commettre,v,to commit,vous avez commis presque tous les crimes informatiques,you have committed almost every computer crime,75
1197,précisément,adv,precisely,pouvez-vous nous parler plus précisément des personnes que vous suivez?,can you tell us more precisely about the people you track?,80
1198,soutien,nm,support,elle a manifestement bénéficié d’un large soutien,she clearly enjoyed widespread support,70
1199,urgence,nf,emergency,prépare-toi pour un atterrissage d’urgence,prepare yourself for an emergency landing,77
1200,clé,nf,key,je ne trouve pas ma clé,I can’t find my key,85
1201,enlever,v,to remove,pouvez-vous enlever votre chapeau?,can you remove your hat?,78
1202,jeter,v,to throw,c’est moi qui ai jeté le caillou,I’m the one who threw the stone,64
1203,religieux,nadj(pl),religious,"il a l’âme religieuse, pourtant","still, he has a religious soul",75
1204,analyse,nf,analysis,je ne veux pas faire d’analyse,I don’t want to do any analysis,79
1205,disponible,adj(f),available,j’utilise des outils disponibles sans restriction,I use any available tools without restriction,74
1206,regard,nm,"look, glance",elle ne posera jamais un regard vers moi,she will never turn her attention to me,63
1207,prévenir,v,"to prevent, warn; to notify",je suis à deux doigts de prévenir la police,I’m within an inch of notifying the police,81
1208,bientôt,adv,soon,"bientôt, je vous connaîtrai mieux que vousmême",soon I will know you better than you do,72
1209,analyser,v,to analyse,il analyse aussi les échecs de la politique,he also analyzes political failures,77
1210,mariage,nm,marriage,le mariage devait avoir lieu à Paris,the marriage should have taken place in Paris,76
1211,couleur,nf,color,le vert était censé être la couleur préférée du Prophète,green is supposed to be the favorite colour of the Prophet,74
1212,témoigner,v,to testify,"je pourrai en témoigner, au besoin, dit-elle","I’ll be able to testify of it, if necessary, she said",82
1213,sauver,v,"to rescue, save",tu m’as sauvé la vie,you saved my life,72
1214,parlementaire,nadj(f),parliamentary; member of parliament,les parlementaires ont été agacés par les réactions israéliennes,the members of parliament were annoyed by the Israeli reactions,54
1215,conclusion,nf,conclusion,la conclusion du rapporteur semble raisonnable,the conclusion of the reporter seems reasonable,75
1216,bleu,"adj, nm",blue,le soleil a déchiré le voile bleu de la nuit,the sun tore through the blue veil of the night,73
1217,dehors,"adv, nm(pl), prep",outside,dehors il fait froid,it’s cold outside,73
1218,remercier,v,to thank,je vous remercie de m’avoir sauvé la vie,thank you for saving my life,68
1219,actif,nadj,active,l’Europe doit donc jouer un rôle actif,Europe must therefore play an active role,75
1220,réclamer,v,"to ask for, call for; to claim",ils ont réclamé leur droit au sens critique,they reserved the right to be critical,74
1221,habitude,nf,habit,les gens fonctionnent beaucoup par habitude,people operate a lot through habits,79
1222,récemment,adv,recently,j’ai reçu récemment une lettre,I recently received a letter,74
1223,fil,nm,"thread, wire",Joseph Glidden fait breveter le fil de fer barbelé,Joseph Glidden is granted a patent for barbed wire,82
1224,collectif,nadj,collective,luttons pour nos buts collectifs…notre indépendance,"let’s fight for our collective goals, our independance",77
1225,excellent,adj,excellent,le café est excellent ici,the coffee’s excellent here,78
